WARNING 2019-06-12 01:46:09,339 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 404 1688
INFO 2019-06-12 01:46:09,514 basehttp 154 "GET /favicon.ico HTTP/1.1" 200 16286
INFO 2019-06-12 01:46:16,182 basehttp 154 "GET /admin HTTP/1.1" 200 16286
WARNING 2019-06-12 01:46:16,318 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 404 1688
INFO 2019-06-12 01:46:16,371 basehttp 154 "GET /favicon.ico HTTP/1.1" 200 16286
INFO 2019-06-12 11:33:59,637 basehttp 154 "GET / HTTP/1.1" 200 16286
WARNING 2019-06-12 11:33:59,693 basehttp 154 "GET /static/admin/css/fonts.css HTTP/1.1" 404 1688
INFO 2019-06-12 11:33:59,810 basehttp 154 "GET /favicon.ico HTTP/1.1" 200 16286
INFO 2019-06-13 14:44:30,049 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:44:31,002 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:31,002 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
INFO 2019-06-13 14:44:31,174 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 200 4429
WARNING 2019-06-13 14:44:31,175 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:31,270 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:31,271 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:31,600 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:31,607 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:44:31,611 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:31,611 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:31,687 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:44:31,699 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:44:31,699 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:31,699 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:44:31,714 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:31,715 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:31,727 basehttp 154 "GET /static/images/wechat2.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:32,033 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:32,039 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:44:32,162 log 228 Not Found: /favicon.ico
WARNING 2019-06-13 14:44:32,162 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2042
INFO 2019-06-13 14:44:34,592 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:44:34,688 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:34,689 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:44:34,738 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:34,739 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:34,743 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:34,764 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:34,769 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:44:34,785 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:44:34,785 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:34,804 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:34,812 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:34,830 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:44:34,837 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:44:34,845 basehttp 154 "GET /static/images/wechat2.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:34,846 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:34,847 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
INFO 2019-06-13 14:44:35,459 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:44:35,477 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:35,478 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:44:36,485 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:36,497 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:44:36,498 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:36,659 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:36,672 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:36,672 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:36,765 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:44:36,837 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:36,838 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:36,909 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:44:36,912 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:44:36,914 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:37,057 basehttp 154 "GET /static/images/wechat2.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:37,189 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
INFO 2019-06-13 14:44:42,963 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:44:43,014 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:43,020 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:43,035 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:43,037 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:43,043 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:44:43,674 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:44:43,675 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:44:43,679 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:43,686 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:43,704 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:44:43,714 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:44:43,737 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:44:43,737 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:44:43,728 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
WARNING 2019-06-13 14:44:43,714 basehttp 154 "GET /static/images/python_web.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:44:43,735 basehttp 154 "GET /static/images/wechat2.jpg HTTP/1.1" 404 1685
INFO 2019-06-13 14:47:03,871 basehttp 154 "GET / HTTP/1.1" 200 17069
WARNING 2019-06-13 14:47:03,907 basehttp 154 "GET /static/css/base/reset.css HTTP/1.1" 404 1685
INFO 2019-06-13 14:47:03,910 basehttp 154 "GET /static/css/base/side.css HTTP/1.1" 304 0
WARNING 2019-06-13 14:47:03,965 basehttp 154 "GET /static/css/base/common.css HTTP/1.1" 404 1688
WARNING 2019-06-13 14:47:03,976 basehttp 154 "GET /static/images/ui.png HTTP/1.1" 404 1670
WARNING 2019-06-13 14:47:03,986 basehttp 154 "GET /static/css/news/index.css HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:04,084 basehttp 154 "GET /static/js/commons.js HTTP/1.1" 404 1670
WARNING 2019-06-13 14:47:04,084 basehttp 154 "GET /static/images/dianshang.png HTTP/1.1" 404 1691
WARNING 2019-06-13 14:47:04,084 basehttp 154 "GET /static/images/youxi.png HTTP/1.1" 404 1679
WARNING 2019-06-13 14:47:04,093 basehttp 154 "GET /static/images/python_gui.jpg HTTP/1.1" 404 1694
WARNING 2019-06-13 14:47:04,105 basehttp 154 "GET /static/js/index.js HTTP/1.1" 404 1664
WARNING 2019-06-13 14:47:04,109 basehttp 154 "GET /static/images/zimeiti.png HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:04,110 basehttp 154 "GET /static/images/linux.jpg HTTP/1.1" 404 1679
WARNING 2019-06-13 14:47:04,155 basehttp 154 "GET /static/images/english.jpg HTTP/1.1" 404 1685
WARNING 2019-06-13 14:47:04,155 basehttp 154 "GET /static/images/python_advanced.jpg HTTP/1.1" 404 1709
WARNING 2019-06-13 14:47:04,156 basehttp 154 "GET /static/images/jichujiaochen.jpeg HTTP/1.1" 404 1706
